PMID, FirstName, LastName, Rank 
18586736,Yiqun, Cao, 1
18586736,Tao, Jiang, 2
18586736,Thomas, Girke, 3
18586737,Franck, Rapaport, 1
18586737,Emmanuel, Barillot, 2
18586737,Jean-Philippe, Vert, 3
18586738,Ashley, Vaughan, 1
18586738,Sum-Ying, Chiu, 2
18586738,Gowthaman, Ramasamy, 3
18586738,Ling, Li, 4
18586738,Malcolm J., Gardner, 5
18586738,Alice S., Tarun, 6
18586738,Stefan H.I., Kappe, 7
18586738,Xinxia, Peng, 8
18757874,Mirabela, Rusu, 1
18757874,Stefan, Birmanns, 2
18757874,Willy, Wriggers, 3
18603567,Martin, Prokop, 1
18603567,Jan, Adam, 2
18603567,Zdenk, Kí, 3
18603567,Michaela, Wimmerová, 4
18603567,Jaroslav, Koa, 5
19193731,Touati, Benoukraf, 1
19193731,Pierre, Cauchy, 2
19193731,Romain, Fenouil, 3
19193731,Adrien, Jeanniard, 4
19193731,Frederic, Koch, 5
19193731,Sébastien, Jaeger, 6
19193731,Denis, Thieffry, 7
19193731,Jean, Imbert, 8
19193731,Jean-Christophe, Andrau, 9
19193731,Salvatore, Spicuglia, 10
19193731,Pierre, Ferrier, 11
19417059,Semin, Lee, 1
19417059,Tom L., Blundell, 2
18990721,Tim, Carver, 1
18990721,Nick, Thomson, 2
18990721,Alan, Bleasby, 3
18990721,Matthew, Berriman, 4
18990721,Julian, Parkhill, 5
19376825,Leon, French, 1
19376825,Suzanne, Lane, 2
19376825,Tamryn, Law, 3
19376825,Lydia, Xu, 4
19376825,Paul, Pavlidis, 5
20519285,Andrey O., Kislyuk, 1
20519285,Lee S., Katz, 2
20519285,Sonia, Agrawal, 3
20519285,Matthew S., Hagen, 4
20519285,Andrew B., Conley, 5
20519285,Pushkala, Jayaraman, 6
20519285,Viswateja, Nelakuditi, 7
20519285,Jay C., Humphrey, 8
20519285,Scott A., Sammons, 9
20519285,Dhwani, Govil, 10
20519285,Raydel D., Mair, 11
20519285,Kathleen M., Tatti, 12
20519285,Maria L., Tondella, 13
20519285,Brian H., Harcourt, 14
20519285,Leonard W., Mayer, 15
20519285,I. King, Jordan, 16
19910305,Fenix W. D., Huang, 1
19910305,Jing, Qin, 2
19910305,Christian M., Reidys, 3
19910305,Peter F., Stadler, 4
20823330,Rosario M., Piro, 1
20823330,Ivan, Molineris, 2
20823330,Ugo, Ala, 3
20823330,Paolo, Provero, 4
20823330,Ferdinando, Di Cunto, 5
20651112,David M.A., Martin, 1
20651112,Isabelle R.E., Nett, 2
20651112,Franck, Vandermoere, 3
20651112,Jonathan D., Barber, 4
20651112,Nicholas A., Morrice, 5
20651112,Michael A.J., Ferguson, 6
21685058,Zhiyong, Wang, 1
21685058,Jinbo, Xu, 2
21813477,Jörg, Hakenberg, 1
21813477,Martin, Gerner, 2
21813477,Maximilian, Haeussler, 3
21813477,Illés, Solt, 4
21813477,Conrad, Plake, 5
21813477,Michael, Schroeder, 6
21813477,Graciela, Gonzalez, 7
21813477,Goran, Nenadic, 8
21813477,Casey M., Bergman, 9
11001586,Jeremy S, Edwards, 1
11001586,Bernhard O, Palsson, 2
11545673,Susana, Cristobal, 1
11545673,Adam, Zemla, 2
11545673,Daniel, Fischer, 3
11545673,Leszek, Rychlewski, 4
11545673,Arne, Elofsson, 5
11504559,Colin W, Ward, 1
11504559,Thomas PJ, Garrett, 2
11472630,Janusz M, Bujnicki, 1
11472630,Marcin, Feder, 2
11472630,Monika, Radlinska, 3
11472630,Leszek, Rychlewski, 4
16110342,Michiel J. L., de Hoon, 1
16110342,Yuko, Makita, 2
16110342,Kenta, Nakai, 3
16110342,Satoru, Miyano, 4
16110342,Diana, Murray, 5
16110343,Pedro, Beltrao, 1
16110343,Luis, Serrano, 2
16110343,Mark, Gerstein, 3
16110344,Subbulakshmi Latha, Cherukuvada, 1
16110344,Aswin Sai Narain, Seshasayee, 2
16110344,Krishnan, Raghunathan, 3
16110344,Sharmila, Anishetty, 4
16110344,Gautam, Pennathur, 5
16110344,Diana, Murray, 6
